"Timestamp","Student's ID","Gender","Bac II's Overall Grade","Bac II Mathematics Grade","Department","Do you have difficulties engaging in your online classes during this Covid-19 outbreak?","What kind of difficulties do you commonly have during this period?","I gather with friends to study mathematics as a group.","I seek advice or explanation from my friends, seniors or those who know more about mathematics problems outside formal class hours.","I try to start my homework immediately after math class.","I have a specific time to study mathematics.","I am careful to keep up-to-date with math homework.","I study math eight to ten hours a week besides classroom hours.","I attend math tutor sessions regularly.","I read my math textbook before coming to class.","If I have trouble understanding the text, I find an alternate text or books.","I take notes during my mathematics classes.","I am careful to copy all the steps of math problems in my notes.","I ask questions when I am confused.","I go to the instructor or tutor center when I am confused.","I try to determine exactly when I got confused and exactly what confused me.","I review my notes and text before beginning the homework.","I work problems until I understand them, not just until I get the answers listed in the back of the book.","I develop memory techniques to remember math concepts.","Sought advice from academic staff including lecturers and/or consulting adviser (via Telegram or during online classes...)","Made a class or online presentation on your assigned work.","Worked hard to master difficult contents or lessons in your classes.","Used library resources on campus or online to do your work or expand your horizons.","Worked on an assignment (TD/TP) that required integrating ideas or information from various sources.","Worked with other students on teamwork/projects during class.","Worked with other students outside class to prepare assignments (either during online classes or personal hours).","Used an online learning system to discuss or complete an assignment.","Discussed your grades or assignments with lecturers.","Talked about your career plans or choosing department or majors with friends, seniors, lecturers or advisors.","Discussed ideas from your readings or classes with lecturers outside class.","Received prompt written or oral feedback from lecturers on your academic performance.","Worked harder than you thought you could to meet your lecturers’ standards or expectations.","Discussed ideas from your readings or classes with others outside class (e.g. friends, seniors, lecturers etc.)","I always prepare myself well for my math classes, tests and quizzes.","I often motivate myself to get a good score in math.","I always pay full attention during my math classes.","Mathematics is important for my study and future career.","I feel confident in my abilities to solve mathematics problems.","I can understand my math teacher’s explanation easily.","I spend lots of time to practice mathematics or work on assignments.","I would prefer to write a math assignment than write an essay.","I believe studying of math helps me with problem solving in other subjects.","I like to solve new problems in mathematics.","I am happier in a math class than in any other classes.","It would not bother me at all to take more math courses.","I have usually been at ease during math test.","I have usually been at ease during math course.","I often feel tense and bored in my mathematics class.","I always feel nervous in quizzes or exams of math.","I don’t like working on the homework given by my mathematics teacher.","I am not eager to participate in discussions that involve mathematics.","I get a sinking feeling when I think of trying hard math problems.","My mind goes blank and I am unable to think clearly when working mathematics.","Mathematics makes me feel uneasy and confused.","I feel more nervous and anxious than usual.","I feel afraid for no reason at all.","I get upset easily or feel panicky.","I feel like I’m falling apart and going to pieces.","I feel that everything is all right and nothing bad will happen.","My arms and legs shake and tremble.","I am bothered by headaches neck and back pain.","I feel weak and get tired easily."," I feel calm and can sit still easily.","I can feel my heart beating fast.","I am bothered by dizzy spells.","I have fainting spells or feel like it.","I can breathe in and out easily.","I get numbness and tingling in my fingers and toes.","I am bothered by stomach aches or indigestion.","I have to empty my bladder often.","My hands are usually dry and warm.","My face gets hot and blushes.","I fall asleep easily and get a good night’s rest.","I have nightmares.","Semester 1: Calculus II","Semester 1: Probability and Statistics","Semester 1: Differential Equation","Annual Score"
"2021/08/15 5:19:39 PM GMT+7","e20191269","Male","C","D","GCI ","Yes","Distraction (home environment, surrounding, people ...)","Sometimes","Rarely","Sometimes","Always","Sometimes","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Often","Sometimes","Sometimes","Sometimes","Often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Agree","Neutral","Agree","Strongly Agree","Neutral","Agree","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Agree","Some of the time","A little of the time","A little of the time","Good part of the time","A little of the time","A little of the time","A little of the time","Some of the time","Some of the time","A little of the time","A little of the time","A little of the time","Good part of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","Some of the time","A little of the time","50","40","30","50.65"
"2021/08/15 5:29:44 PM GMT+7","e20190285","Male","D","C","GGG","Yes","Distraction (home environment, surrounding, people ...)","Sometimes","Sometimes","Sometimes","Always","Sometimes","Always","Always","Rarely","Rarely","Always","Always","Rarely","Almost Never","Sometimes","Always","Rarely","Always","Never","Never","Often","Sometimes","Often","Often","Often","Sometimes","Never","Often","Sometimes","Often","Sometimes","Often","Agree","Agree","Agree","Strongly Agree","Neutral","Neutral","Agree","Neutral","Agree","Neutral","Agree","Agree","Disagree","Disagree","Disagree","Strongly Agree","Strongly Disagree","Disagree","Strongly Agree","Agree","Agree","Some of the time","Some of the time","Some of the time","Some of the time","Some of the time","Some of the time","Most of the time","Some of the time","Some of the time","Most of the time","Most of the time","Some of the time","Most of the time","Most of the time","Most of the time","Some of the time","Some of the time","Most of the time","A little of the time","A little of the time","8684","89.65","98.69","82.37"
"2021/08/15 5:32:38 PM GMT+7","e20191254","Female","A","A","GCI","Yes","Online class is not interactive;Devices use in online learning (inadequate);Distraction (home environment, surrounding, people ...);Self motivation","Almost Never","Sometimes","Sometimes","Sometimes","Always","Sometimes","Sometimes","Rarely","Almost Never","Almost Never","Almost Never","Rarely","Never Even Thought of","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Often","Never","Sometimes","Sometimes","Sometimes","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Agree","Disagree","Neutral","Disagree","Disagree","Disagree","Disagree","Neutral","Some of the time","Some of the time","Some of the time","Some of the time","Some of the time","A little of the time","Good part of the time","Some of the time","A little of the time","Some of the time","Some of the time","Some of the time","A little of the time","A little of the time","A little of the time","A little of the time","Some of the time","Some of the time","Good part of the time","A little of the time","85.82","82.3","90.65","80.39"
"2021/08/15 5:37:07 PM GMT+7","e20191082","Female","C","B","CGA","Yes","Adapt to online learning approach;Self motivation","Never Even Thought of","Rarely","Rarely","Rarely","Rarely","Rarely","Always","Sometimes","Rarely","Sometimes","Sometimes","Sometimes","Never Even Thought of","Sometimes","Always","Always","Rarely","Never","Sometimes","Never","Never","Often","Sometimes","Never","Never","Sometimes","Never","Never","Sometimes","Sometimes","Never","Neutral","Agree","Agree","Agree","Disagree","Neutral","Disagree","Disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Disagree","Disagree","Neutral","Agree","Agree","Good part of the time","Most of the time","Most of the time","Most of the time","A little of the time","A little of the time","Most of the time","Some of the time","Good part of the time","A little of the time","A little of the time","A little of the time","Most of the time","Some of the time","Good part of the time","Some of the time","Good part of the time","Some of the time","Most of the time","Good part of the time","68.58","61.6 for semester 2","78.3 for semester 2","Sorry teacher, I'm not sure about annual score. So I didn't complete it here."
"2021/08/15 5:44:16 PM GMT+7","e20190429","Male","C","D","GIC","Yes","Low internet speed (cannot hear/see well, ...)","Sometimes","Rarely","Sometimes","Sometimes","Never Even Thought of","Rarely","Almost Never","Rarely","Sometimes","Sometimes","Always","Sometimes","Never Even Thought of","Sometimes","Sometimes","Rarely","Sometimes","Never","Sometimes","Often","Sometimes","Sometimes","Sometimes","Sometimes","Often","Sometimes","Never","Sometimes","Sometimes","Sometimes","Often","Agree","Agree","Agree","Strongly Agree","Strongly Disagree","Neutral","Agree","Agree","Strongly Disagree","Disagree","Agree","Neutral","Disagree","Disagree","Disagree","Neutral","Disagree","Disagree","Agree","Neutral","Agree","A little of the time","Some of the time","Good part of the time","A little of the time","Good part of the time","Some of the time","A little of the time","A little of the time","Some of the time","Good part of the time","Good part of the time","A little of the time","A little of the time","Some of the time","A little of the time","Good part of the time","Some of the time","A little of the time","A little of the time","A little of the time","76","67,50","60","443"
"2021/08/15 6:04:43 PM GMT+7","e20190831","Male","A","A","GCI","Yes","Online class is not interactive","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Always","Rarely","Sometimes","Sometimes","Sometimes","Rarely","Rarely","Sometimes","Sometimes","Rarely","Rarely","Often","Sometimes","Often","Often","Often","Never","Sometimes","Often","Never","Sometimes","Often","Sometimes","Often","Often","Agree","Agree","Agree","Agree","Disagree","Neutral","Neutral","Disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Disagree","Neutral","Neutral","Disagree","Neutral","Neutral","Neutral","Neutral","Some of the time","A little of the time","A little of the time","A little of the time","Some of the time","A little of the time","Some of the time","Some of the time","Some of the time","Some of the time","Some of the time","A little of the time","A little of the time","Some of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","83","75","68","67"
"2021/08/15 6:15:19 PM GMT+7","e20190200","Female","D","E","CGA","Yes","Low internet speed (cannot hear/see well, ...)","Sometimes","Sometimes","Always","Always","Always","Sometimes","Sometimes","Always","Sometimes","Always","Always","Sometimes","Sometimes","Sometimes","Always","Sometimes","Sometimes","Very Often","Often","Sometimes","Sometimes","Sometimes","Often","Sometimes","Never","Never","Sometimes","Never","Often","Sometimes","Often","Strongly Agree","Agree","Neutral","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Agree","Neutral","Neutral","A little of the time","Some of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","Some of the time","A little of the time","68.42","47.25","78.34","72"
"2021/08/15 6:56:30 PM GMT+7","E20190258","Male","B","B","GIM","Yes","Low internet speed (cannot hear/see well, ...)","Sometimes","Always","Sometimes","Sometimes","Always","Always","Always","Sometimes","Sometimes","Always","Always","Sometimes","Almost Never","Sometimes","Sometimes","Sometimes","Sometimes","Often","Sometimes","Often","Often","Often","Often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Disagree","Neutral","Disagree","Neutral","Agree","Neutral","Disagree","A little of the time","Some of the time","","A little of the time","Some of the time","A little of the time","A little of the time","Some of the time","Good part of the time","A little of the time","A little of the time","A little of the time","Good part of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","Good part of the time","A little of the time","86.72","95","74.3","77.4"
"2021/08/15 7:09:22 PM GMT+7","e20190705","Male","B","B","GCI","Yes","Low internet speed (cannot hear/see well, ...);Distraction (home environment, surrounding, people ...)","Sometimes","Sometimes","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Sometimes","Often","Sometimes","Sometimes","Often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Good part of the time","Some of the time","Good part of the time","Good part of the time","Good part of the time","Good part of the time","Good part of the time","Good part of the time","Good part of the time","Some of the time","Good part of the time","Good part of the time","Good part of the time","Good part of the time","Some of the time","A little of the time","Good part of the time","Good part of the time","Good part of the time","Good part of the time","50","50","60","83.8"
"2021/08/15 7:18:58 PM GMT+7","e20190683","Male","A","B","GEE","Yes","Low internet speed (cannot hear/see well, ...)","Almost Never","Sometimes","Sometimes","Always","Never Even Thought of","Rarely","Always","Sometimes","Sometimes","Rarely","Almost Never","Never Even Thought of","Almost Never","Almost Never","Almost Never","Rarely","Never Even Thought of","Sometimes","Sometimes","Never","Often","Sometimes","Sometimes","Often","Sometimes","Sometimes","Often","Never","Never","Sometimes","Sometimes","Agree","Disagree","Neutral","Neutral","Strongly Disagree","Strongly Agree","Disagree","Neutral","Agree","Disagree","Strongly Disagree","Strongly Disagree","Disagree","Neutral","Disagree","Neutral","Strongly Agree","Agree","Disagree","Neutral","Strongly Disagree","Some of the time","Some of the time","A little of the time","Good part of the time","Some of the time","A little of the time","Good part of the time","Some of the time","A little of the time","Some of the time","A little of the time","Some of the time","Some of the time","Some of the time","A little of the time","Good part of the time","A little of the time","A little of the time","Some of the time","Some of the time","54.58","46.25","67","59.84"
"2021/08/15 7:20:04 PM GMT+7","e20190941","Male","B","B","OAC","Yes","Low internet speed (cannot hear/see well, ...)","Almost Never","Sometimes","Sometimes","Sometimes","Sometimes","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Often","Sometimes","Often","Sometimes","Sometimes","Often","Often","Sometimes","Often","Sometimes","Often","Sometimes","Often","Often","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Most of the time","Most of the time","Most of the time","Most of the time","Good part of the time","Good part of the time","Good part of the time","Good part of the time","Good part of the time","Some of the time","Good part of the time","Good part of the time","Good part of the time","Good part of the time","Good part of the time","Good part of the time","Good part of the time","Good part of the time","Good part of the time","Good part of the time","60","70","50","70"
"2021/08/15 7:22:07 PM GMT+7","e20191023","Male","A","A","OAC","No","no","Always","Always","Sometimes","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Often","Sometimes","Sometimes","Sometimes","Often","Often","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Agree","Disagree","Disagree","Disagree","Disagree","Neutral","Disagree","Disagree","Some of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","Some of the time","A little of the time","A little of the time","A little of the time","Good part of the time","Some of the time","A little of the time","A little of the time","A little of the time","A little of the time","Some of the time","Some of the time","97.6","92.85","93.34","89.6"
"2021/08/15 7:23:00 PM GMT+7","e20190473","Male","B","C","GEE","Yes","Low internet speed (cannot hear/see well, ...);Online class is not interactive;Distraction (home environment, surrounding, people ...);Self motivation","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Rarely","Sometimes","Rarely","Rarely","Sometimes","Sometimes","Rarely","Rarely","Sometimes","Always","Rarely","Sometimes","Sometimes","Often","Sometimes","Often","Sometimes","Never","Very Often","Never","Often","Very Often","Sometimes","Often","Sometimes","Often","Agree","Agree","Neutral","Strongly Agree","Neutral","Disagree","Neutral","Disagree","Strongly Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Disagree","Neutral","Some of the time","Most of the time","Most of the time","Most of the time","A little of the time","A little of the time","Most of the time","Good part of the time","Some of the time","A little of the time","Some of the time","A little of the time","Most of the time","Good part of the time","Some of the time","Some of the time","A little of the time","Most of the time","Most of the time","A little of the time","78.13","83.36","80.3","76.09"
"2021/08/15 7:26:56 PM GMT+7","e20190905","Male","B","B","GEE","No","Low internet speed (cannot hear/see well, ...)","Never Even Thought of","Almost Never","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Sometimes","Always","Always","Sometimes","Sometimes","Very Often","Very Often","Very Often","Very Often","Often","Often","Sometimes","Often","Very Often","Very Often","Often","Very Often","Often","Often","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Good part of the time","Good part of the time","Good part of the time","Some of the time","Some of the time","A little of the time","Good part of the time","Some of the time","Some of the time","Some of the time","Some of the time","Good part of the time","Good part of the time","A little of the time","Some of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","69.25","72.95","90.65","76.7"
"2021/08/15 7:28:34 PM GMT+7","e20190076","Male","D","C","GEE","No","Distraction (home environment, surrounding, people ...)","Sometimes","Always","Sometimes","Always","Always","Sometimes","Always","Almost Never","Always","Sometimes","Always","Always","Never Even Thought of","Always","Always","Always","Always","Sometimes","Never","Very Often","Sometimes","Very Often","Very Often","Very Often","Very Often","Sometimes","Very Often","Very Often","Sometimes","Never","Very Often","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Neutral","Strongly Agree","Strongly Disagree","Agree","Neutral","Disagree","Neutral","Some of the time","Good part of the time","A little of the time","A little of the time","Most of the time","A little of the time","A little of the time","Some of the time","Good part of the time","Most of the time","Some of the time","A little of the time","Most of the time","Some of the time","Some of the time","Some of the time","A little of the time","A little of the time","Good part of the time","A little of the time","76.73","79.95","87.3","79.38"
"2021/08/15 7:30:02 PM GMT+7","e20191291","Male","E","E","TR","Yes","Low internet speed (cannot hear/see well, ...);Adapt to online learning approach;Devices use in online learning (inadequate);Distraction (home environment, surrounding, people ...);Self motivation","Sometimes","Rarely","Always","Always","Always","Sometimes","Sometimes","Sometimes","Rarely","Always","Rarely","Always","Sometimes","Sometimes","Sometimes","Rarely","Sometimes","Often","Never","Sometimes","Often","Very Often","Very Often","Sometimes","Sometimes","Sometimes","Sometimes","Often","Never","Never","Sometimes","Agree","Strongly Agree","Agree","Strongly Agree","Neutral","Neutral","Agree","Neutral","Agree","Neutral","Neutral","Agree","Disagree","Disagree","Agree","Agree","Disagree","Neutral","Agree","Neutral","Agree","Some of the time","Some of the time","A little of the time","Good part of the time","Some of the time","A little of the time","A little of the time","Some of the time","A little of the time","Some of the time","Good part of the time","Good part of the time","Some of the time","A little of the time","Some of the time","Good part of the time","Some of the time","Some of the time","Some of the time","Some of the time","50,25","82,69","63,65","53,71"
"2021/08/15 7:31:56 PM GMT+7","e20191290","Male","A","A","GCI","Yes","Low internet speed (cannot hear/see well, ...);Distraction (home environment, surrounding, people ...);Self motivation","Sometimes","Rarely","Always","Sometimes","Always","Always","Always","Sometimes","Sometimes","Always","Always","Always","Rarely","Always","Always","Always","Sometimes","Sometimes","Often","Often","Sometimes","Very Often","Very Often","Sometimes","Often","Often","Very Often","Often","Often","Often","Often","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Neutral","Agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Agree","Disagree","Disagree","Neutral","Disagree","Strongly Disagree","Good part of the time","Some of the time","Some of the time","Some of the time","Good part of the time","Some of the time","Most of the time","Good part of the time","Some of the time","Some of the time","Some of the time","Some of the time","Most of the time","Some of the time","Some of the time","Some of the time","Some of the time","Good part of the time","A little of the time","Most of the time","85.55","95.5","97","82.89"
"2021/08/15 7:32:10 PM GMT+7","e20190759","Male","C","D","CGA","Yes","Low internet speed (cannot hear/see well, ...)","Sometimes","Almost Never","Always","Always","Always","Always","Rarely","Sometimes","Sometimes","Always","Sometimes","Sometimes","Sometimes","Sometimes","Always","Sometimes","Sometimes","Sometimes","Often","Often","Sometimes","Often","Sometimes","Never","Never","Never","Sometimes","Sometimes","Often","Sometimes","Often","Agree","Neutral","Agree","Strongly Agree","Neutral","Disagree","Agree","Disagree","Agree","Agree","Agree","Disagree","Disagree","Neutral","Agree","Agree","Disagree","Disagree","Disagree","Strongly Disagree","Agree","A little of the time","Some of the time","A little of the time","Some of the time","Some of the time","A little of the time","A little of the time","Some of the time","Most of the time","Good part of the time","Some of the time","Some of the time","A little of the time","Some of the time","A little of the time","Some of the time","A little of the time","A little of the time","A little of the time","Some of the time","73","63","54","66.64"
"2021/08/15 7:34:31 PM GMT+7","e20191271","Male","B","B","GEE","Yes","Low internet speed (cannot hear/see well, ...);Distraction (home environment, surrounding, people ...);Self motivation","Sometimes","Sometimes","Always","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Neutral","Neutral","Agree","Strongly Agree","Neutral","Strongly Agree","Neutral","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Some of the time","A little of the time","Some of the time","A little of the time","Some of the time","Some of the time","A little of the time","Some of the time","Some of the time","Some of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","Some of the time","60","20","60","72.61"
"2021/08/15 7:35:24 PM GMT+7","T","Female","B","D","GEE","Yes","Online class is not interactive;Distraction (home environment, surrounding, people ...);Self motivation","Almost Never","Rarely","Rarely","Rarely","Sometimes","Rarely","Always","Sometimes","Sometimes","Sometimes","Rarely","Almost Never","Rarely","Rarely","Rarely","Rarely","Always","Often","Often","Often","Sometimes","Sometimes","Very Often","Very Often","Sometimes","Often","Very Often","Sometimes","Very Often","Often","Often","Neutral","Neutral","Disagree","Agree","Disagree","Disagree","Neutral","Agree","Neutral","Neutral","Disagree","Disagree","Neutral","Neutral","Agree","Strongly Agree","Neutral","Neutral","Neutral","Neutral","Agree","Some of the time","Good part of the time","Good part of the time","Some of the time","Some of the time","Some of the time","Good part of the time","Good part of the time","Some of the time","Good part of the time","Good part of the time","Some of the time","Some of the time","Some of the time","Some of the time","Some of the time","Some of the time","Some of the time","Good part of the time","Good part of the time","90.4","70.6","81.3","81.1"
"2021/08/15 7:36:15 PM GMT+7","e20190640","Male","C","E","GEE","Yes","Low internet speed (cannot hear/see well, ...);Online class is not interactive;Distraction (home environment, surrounding, people ...);Self motivation","Almost Never","Almost Never","Rarely","Sometimes","Sometimes","Rarely","Always","Almost Never","Always","Sometimes","Always","Rarely","Almost Never","Rarely","Sometimes","Rarely","Almost Never","Never","Sometimes","Sometimes","Never","Sometimes","Sometimes","Sometimes","Sometimes","Never","Sometimes","Never","Sometimes","Sometimes","Sometimes","Neutral","Neutral","Neutral","Agree","Disagree","Disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Disagree","Disagree","Neutral","Neutral","Neutral","Agree","Agree","Agree","Neutral","Some of the time","Some of the time","Some of the time","Some of the time","Some of the time","A little of the time","Some of the time","Some of the time","A little of the time","Some of the time","Some of the time","Some of the time","Some of the time","Some of the time","Some of the time","Some of the time","Some of the time","Some of the time","A little of the time","Some of the time","81.31","62.94","58.6","71.31"
"2021/08/15 7:36:23 PM GMT+7","e20290071","Male","C","C","CGA","Yes","Online class is not interactive;slow can't see and  hear clearly , difficult to focus, ","Never Even Thought of","Almost Never","Sometimes","Always","Always","Sometimes","Rarely","Almost Never","Sometimes","Rarely","Sometimes","Almost Never","Almost Never","Rarely","Rarely","Rarely","Rarely","Often","Often","Often","Often","Very Often","Often","Never","Often","Never","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Agree","Agree","Agree","Strongly Agree","Neutral","Strongly Agree","Neutral","Agree","Strongly Agree","Agree","Neutral","Neutral","Agree","Neutral","Neutral","Disagree","Disagree","Neutral","Neutral","Neutral","Agree","Some of the time","Some of the time","Some of the time","Some of the time","Good part of the time","A little of the time","Good part of the time","Good part of the time","Good part of the time","Good part of the time","Good part of the time","Good part of the time","Some of the time","Good part of the time","Good part of the time","Some of the time","Some of the time","Good part of the time","Some of the time","Good part of the time","65.05","66.6","65.6","66.98"
"2021/08/15 7:39:34 PM GMT+7","e20190567","Female","B","B","GIC","Yes","Low internet speed (cannot hear/see well, ...);Online class is not interactive;Devices use in online learning (inadequate);Distraction (home environment, surrounding, people ...)","Almost Never","Never Even Thought of","Almost Never","Never Even Thought of","Almost Never","Rarely","Rarely","Sometimes","Sometimes","Always","Sometimes","Almost Never","Almost Never","Almost Never","Rarely","Rarely","Almost Never","Often","Sometimes","Sometimes","Never","Often","Often","Often","Very Often","Often","Often","Very Often","Often","Sometimes","Sometimes","Agree","Neutral","Strongly Agree","Strongly Agree","Disagree","Neutral","Neutral","Disagree","Neutral","Disagree","Disagree","Disagree","Disagree","Neutral","Neutral","Agree","Disagree","Neutral","Disagree","Neutral","Agree","A little of the time","Some of the time","Some of the time","Most of the time","A little of the time","Some of the time","Most of the time","Most of the time","Good part of the time","Good part of the time","Some of the time","Some of the time","Good part of the time","Good part of the time","Good part of the time","Some of the time","Some of the time","Most of the time","Some of the time","Most of the time","Good explanation from my teacher!!","Good explanation from my teacher!","Specially point!!","Better than 60/100"
"2021/08/15 7:39:58 PM GMT+7","E20190047","Male","E","E","GEE","Yes","Online class is not interactive","Almost Never","Sometimes","Sometimes","Sometimes","Always","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Rarely","Sometimes","Sometimes","Sometimes","Often","Sometimes","Sometimes","Sometimes","Often","Never","Sometimes","Sometimes","Never","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Neutral","Neutral","Agree","Neutral","Neutral","Strongly Disagree","Neutral","Agree","Neutral","Neutral","Neutral","Disagree","Neutral","Disagree","Agree","Neutral","Agree","Neutral","Neutral","Neutral","Agree","Some of the time","Some of the time","Most of the time","Some of the time","A little of the time","A little of the time","Some of the time","Most of the time","A little of the time","A little of the time","A little of the time","A little of the time","Some of the time","A little of the time","A little of the time","A little of the time","A little of the time","Some of the time","A little of the time","Good part of the time","60","62.6","58.6","637"
"2021/08/15 7:40:03 PM GMT+7","e20190788","Male","C","D","GEE","No","Low internet speed (cannot hear/see well, ...)","Sometimes","Sometimes","Sometimes","Sometimes","Always","Sometimes","Always","Sometimes","Sometimes","Always","Always","Always","Sometimes","Always","Sometimes","Always","Always","Sometimes","Sometimes","Sometimes","Sometimes","Very Often","Often","Often","Often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","68.6","62.6","64.95","65.46"
"2021/08/15 7:46:05 PM GMT+7","e20190579","Male","B","C","GEE","Yes","Low internet speed (cannot hear/see well, ...);Adapt to online learning approach;Distraction (home environment, surrounding, people ...)","Sometimes","Sometimes","Always","Rarely","Rarely","Sometimes","Rarely","Rarely","Sometimes","Rarely","Rarely","Sometimes","Never Even Thought of","Rarely","Sometimes","Rarely","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Often","Often","Sometimes","Sometimes","Never","Never","Sometimes","Never","Sometimes","Never","Agree","Agree","Neutral","Agree","Neutral","Disagree","Neutral","Disagree","Agree","Neutral","Neutral","Neutral","Disagree","Disagree","Neutral","Neutral","Disagree","Neutral","Neutral","Neutral","Neutral","Some of the time","Some of the time","Some of the time","A little of the time","Some of the time","Some of the time","Some of the time","Some of the time","Some of the time","Some of the time","A little of the time","Good part of the time","Some of the time","Some of the time","Some of the time","A little of the time","Some of the time","Some of the time","A little of the time","Some of the time","65","70, 55","70","65,74"
